energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.292,0.737,0.121,0.96,0.75,0.0338,Humpty Dumpty,Super Simple Songs,-1
0.316,0.705,0.0941,0.867,0.0551,0.047,Calling,Dj Cappo,-1
0.386,0.763,0.13,0.748,0.00675,0.0547,Jumping Like Kangaroo,BlockShooters,-1
0.271,0.818,0.135,0.3279999999999999,0.472,0.0356,Health,Pustuling Vestibles,-1
0.0708,0.322,0.1169999999999999,0.5539999999999999,0.947,0.0444,"Mozart: Serenade No. 13 in G Major ""Eine kleine Nachtmusik"", K. 525: III. Menuetto (Trio)",Wolfgang Amadeus Mozart,-1
0.638,0.612,0.0737,0.816,0.087,0.121,Stay Long Love You (feat. Gunna),Mariah Carey,-1
0.348,0.688,0.341,0.58,0.519,0.149,dear insecurity (feat. Ben Abraham),gnash,-1
0.7659999999999999,0.8009999999999999,0.0885,0.698,0.214,0.102,Stay on Track,C the Gray,-1
0.6629999999999999,0.546,0.0874,0.524,0.131,0.068,"Erstwhile, Manatee",Madam West,-1
0.509,0.7090000000000001,0.104,0.188,0.0187,0.0524,Tic Toc,Teddie Cain,-1
0.63,0.6779999999999999,0.23,0.737,0.435,0.045,I Miss You,Boyce Avenue,-1
0.614,0.706,0.0951,0.442,0.0301,0.263,Dead & Gone - Zwall Remix,Josh A,-1
0.565,0.247,0.123,0.114,0.00216,0.0333,We Would Never Do - Live Session,Taska Black,-1
0.00778,0.332,0.0931,0.0354,0.985,0.04,Heart! We Will Forget Him,Robert Baksa,-1
0.00654,0.0,0.1159999999999999,0.0,0.994,0.0,"Myrthen, Op.25 - Version For Cello And Piano: 24. Du bist wie eine Blume",Robert Schumann,-1
0.701,0.586,0.105,0.4639999999999999,0.105,0.246,All Year,Money Dron,-1
0.0752,0.131,0.094,0.322,0.95,0.0411,"Ein Feste Burg ist unser Gott, BWV 720",Johann Sebastian Bach,-1
0.115,0.316,0.132,0.306,0.8540000000000001,0.039,"Sonata for Harpsichord and Flute in B Minor, BWV 1030: I. Andante",Johann Sebastian Bach,-1
0.954,0.14,0.603,0.0564,0.000567,0.083,Aria (ASOT 863),Monoverse,-1
0.0532,0.449,0.121,0.185,0.0038799999999999,0.1639999999999999,Bow. (Bonus Track),Iroyal,-1
0.6920000000000001,0.662,0.15,0.444,0.0414,0.344,Play With Us (feat. Kevin Gates),Lil Durk,-1
0.5329999999999999,0.509,0.0956,0.435,0.695,0.0627,Tell Me Where It Hurts,MYMP,-1
0.6920000000000001,0.789,0.0505,0.774,0.001,0.0475,Feel My Needs,Weiss (UK),-1
0.89,0.895,0.1939999999999999,0.6679999999999999,0.0189,0.249,MajeOmo,Slimcase,-1
0.354,0.629,0.2289999999999999,0.484,0.929,0.054,Grey Kimono,Joe Corfield,-1
0.362,0.856,0.0883,0.961,0.212,0.0976,AMG,Paperfiends,-1
0.682,0.62,0.392,0.85,0.424,0.0273,"Theme And Variations 1-4 (From Paganini's Caprice in A Minor, No. 24) - Single Version",Andrew Lloyd Webber,-1
0.8959999999999999,0.51,0.0834,0.706,0.209,0.581,Litlle Doubts [Lucchii Remix],Spirix,-1
0.527,0.409,0.325,0.705,0.688,0.0708,Esta Noche,Cumbia Sonidera,-1
0.521,0.81,0.133,0.532,0.384,0.62,Push Up (feat. Yung Bans & SmokePurpp),SG Tip,-1
0.287,0.61,0.253,0.489,0.956,0.0807,Summer Love WYA,Tomas,-1
0.444,0.307,0.316,0.115,0.273,0.0342,Station,PANG!,-1
0.893,0.1889999999999999,0.288,0.0872,0.000412,0.1369999999999999,The Devil Thinks I'm Sinking,Good Tiger,-1
0.557,0.6509999999999999,0.155,0.892,0.427,0.4379999999999999,"A State Of Trance (ASOT 906) - This Week's Service For Dreamers, Pt. 1",Armin van Buuren,-1
0.736,0.838,0.114,0.524,0.19,0.0521,Traci Lords,SAINt JHN,-1
0.639,0.812,0.138,0.647,0.0377,0.237,Toe Tag,Freddie Gibbs,-1
0.78,0.8540000000000001,0.337,0.823,0.49,0.153,Muevete Zumba Afro Punta,Lil June,-1
0.64,0.691,0.0943,0.472,0.492,0.0342,Wild West Dreams,Jacob Powell,-1
0.579,0.8740000000000001,0.123,0.319,0.015,0.083,JACKIE CHAN,CEV,-1
0.828,0.243,0.451,0.212,0.345,0.0871,"Turn You Inside Out - Live From The National Bowl, Milton Keynes / 1995",R.E.M.,-1
0.722,0.737,0.128,0.529,0.289,0.108,LONG TIME NO SEE,iKON,-1
0.504,0.586,0.149,0.36,0.507,0.0347,Nain Na Jodeen,Ayushmann Khurrana,-1
0.978,0.601,0.335,0.6609999999999999,0.26,0.207,Mor Nam Hawaye Ram Bai - Prem Ke Bandhna,Anupama Mishra,-1
0.799,0.642,0.0817,0.381,0.00511,0.0416,Body Language (feat. Miranda Glory & Haris),Tujamo,-1
0.939,0.809,0.14,0.637,0.132,0.0706,BLING BLING - JP Ver.,iKON,-1
0.128,0.535,0.118,0.183,0.92,0.0344,Siren,Uhre,-1
0.531,0.674,0.1969999999999999,0.17,0.121,0.0516,Basic,Sigrid,-1
0.929,0.439,0.1119999999999999,0.449,0.0438,0.321,Francyou Baptiste,Francyou Baptiste,-1
0.946,0.7609999999999999,0.0425,0.349,0.000601,0.0551,Badass (with Anna Lunoe),Born Dirty,-1
0.278,0.3229999999999999,0.123,0.0647,0.993,0.0459,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": III. Presto agitato",Ludwig van Beethoven,-1
0.8290000000000001,0.525,0.81,0.833,0.432,0.542,Smoke.Netflix.Chill.,Tank and The Bangas,-1
0.7979999999999999,0.303,0.586,0.447,3.5100000000000006e-05,0.049,Highlander,The New Fangs,-1
0.426,0.6990000000000001,0.0869,0.759,0.631,0.0625,Too Hip for Jeans - Full,Ron Komie,-1
0.307,0.445,0.0767,0.0955,0.903,0.049,The Ending,Wafia,-1
0.337,0.652,0.0754,0.1689999999999999,0.7070000000000001,0.0303,Try,Baeryl,-1
0.782,0.7,0.051,0.677,0.0751,0.175,Líberanos del Mal,Gera MXM,-1
