energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
85.0,25.0,5.0,19.0,4.0,6.0,Paranoid Android,Radiohead,4.24
51.0,36.0,17.0,32.0,6.0,3.0,Karma Police,Radiohead,4.24
39.0,26.0,11.0,12.0,6.0,3.0,No Surprises,Radiohead,4.24
48.0,36.0,18.0,36.0,52.0,8.0,Time,Pink Floyd,4.21
22.0,28.0,8.0,18.0,77.0,3.0,The Great Gig in the Sky,Pink Floyd,4.21
54.0,47.0,27.0,78.0,2.0,15.0,Money,Pink Floyd,4.21
30.0,36.0,63.0,13.0,86.0,3.0,Us and Them,Pink Floyd,4.21
29.0,27.0,11.0,4.0,77.0,3.0,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,4.3
32.0,50.0,38.0,28.0,72.0,5.0,Wish You Were Here,Pink Floyd,4.3
23.0,45.0,20.0,13.0,17.0,3.0,Fake Plastic Trees,Radiohead,3.84
45.0,49.0,18.0,13.0,31.0,3.0,Street Spirit (Fade Out),Radiohead,3.84
0.494,0.5579999999999999,0.0907,0.363,0.122,0.153,These Walls,Kendrick Lamar,4.3
38.0,53.0,9.0,19.0,3.0,4.0,Come Together - Remastered 2009,The Beatles,4.25
34.0,40.0,14.0,38.0,20.0,3.0,Something - Remastered 2009,The Beatles,4.25
54.0,56.0,18.0,39.0,3.0,3.0,Here Comes The Sun - Remastered 2009,The Beatles,4.25
67.0,45.0,80.0,58.0,9.0,7.0,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,4.13
33.0,31.0,14.0,67.0,5.0,3.0,Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,4.13
21.0,38.0,11.0,39.0,94.0,3.0,She's Leaving Home - Remastered 2009,The Beatles,4.13
24.0,70.0,9.0,66.0,63.0,5.0,When I'm Sixty Four - Remastered 2009,The Beatles,4.13
46.0,36.0,92.0,18.0,29.0,7.0,A Day In The Life - Remastered 2009,The Beatles,4.13
91.0,50.0,11.0,72.0,0.0,6.0,Smells Like Teen Spirit,Nirvana,3.93
82.0,50.0,9.0,54.0,0.0,4.0,Come As You Are,Nirvana,3.93
66.0,68.0,6.0,49.0,0.0,4.0,Lithium,Nirvana,3.93
39.0,62.0,91.0,44.0,68.0,4.0,Polly,Nirvana,3.93
28.0,58.0,31.0,81.0,94.0,4.0,Eleanor Rigby - Remastered 2009,The Beatles,4.23
35.0,48.0,12.0,71.0,78.0,3.0,For No One - Remastered 2009,The Beatles,4.23
45.0,49.0,54.0,55.0,17.0,3.0,Starman - 2012 Remaster,David Bowie,4.26
56.0,44.0,21.0,50.0,5.0,12.0,Ziggy Stardust - 2012 Remaster,David Bowie,4.26
39.0,69.0,25.0,72.0,8.0,4.0,"Another Brick in the Wall, Pt. 2",Pink Floyd,3.81
30.0,59.0,13.0,19.0,22.0,3.0,Hey You,Pink Floyd,3.81
37.0,47.0,8.0,17.0,15.0,3.0,Comfortably Numb,Pink Floyd,3.81
92.0,64.0,62.0,87.0,18.0,6.0,Once in a Lifetime - 2005 Remaster,Talking Heads,4.25
97.0,48.0,6.0,49.0,7.0,9.0,Back In The U.S.S.R. - Remastered 2009,The Beatles,4.14
65.0,45.0,17.0,70.0,2.0,3.0,While My Guitar Gently Weeps - Remastered 2009,The Beatles,4.14
13.0,69.0,6.0,37.0,75.0,3.0,Blackbird - Remastered 2009,The Beatles,4.14
90.0,40.0,54.0,84.0,7.0,4.0,Bigmouth Strikes Again - 2011 Remaster,The Smiths,4.13
77.0,52.0,14.0,88.0,4.0,3.0,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,4.13
86.0,44.0,24.0,75.0,40.0,9.0,Black Dog - Remaster,Led Zeppelin,4.11
89.0,32.0,9.0,87.0,0.0,4.0,Rock and Roll - Remaster,Led Zeppelin,4.11
34.0,34.0,12.0,20.0,58.0,3.0,Stairway to Heaven - Remaster,Led Zeppelin,4.11
39.0,65.0,32.0,60.0,2.0,3.0,Monkey Gone to Heaven,Pixies,4.12
37.0,43.0,11.0,65.0,18.0,4.0,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,4.03
29.0,58.0,11.0,67.0,65.0,3.0,Michelle - Remastered 2009,The Beatles,4.03
44.0,69.0,11.0,44.0,45.0,3.0,In My Life - Remastered 2009,The Beatles,4.03
64.0,26.0,9.0,38.0,20.0,6.0,Heart-Shaped Box,Nirvana,3.98
75.0,42.0,7.0,23.0,1.0,5.0,Rape Me,Nirvana,3.98
63.0,45.0,9.0,36.0,8.0,3.0,All Apologies,Nirvana,3.98
0.318,0.335,0.245,0.431,0.149,0.288,BLOOD.,Kendrick Lamar,3.54
0.7,0.759,0.231,0.483,0.223,0.473,ELEMENT.,Kendrick Lamar,3.54
0.535,0.665,0.153,0.37,0.0786,0.0572,PRIDE.,Kendrick Lamar,3.54
0.667,0.903,0.0961,0.452,0.000377,0.136,HUMBLE.,Kendrick Lamar,3.54
83.0,54.0,15.0,56.0,0.0,4.0,Master of Puppets (Remastered),Metallica,4.01
43.0,51.0,6.0,21.0,18.0,4.0,Glory Box,Portishead,4.12
80.0,67.0,6.0,76.0,3.0,4.0,Sound and Vision - 2017 Remaster,David Bowie,4.13
0.396,0.752,0.0486,0.417,0.867,0.411,I Thought About Killing You,Kanye West,3.29
0.7759999999999999,0.6829999999999999,0.2269999999999999,0.223,0.15,0.341,Yikes,Kanye West,3.29
0.31,0.925,0.0931,0.291,0.123,0.291,All Mine,Kanye West,3.29
0.432,0.556,0.308,0.352,0.495,0.545,Wouldn't Leave,Kanye West,3.29
0.6459999999999999,0.643,0.109,0.35,0.0393,0.0629,No Mistakes,Kanye West,3.29
0.545,0.573,0.3289999999999999,0.297,0.0969,0.0288,Ghost Town,Kanye West,3.29
0.419,0.669,0.187,0.0397,0.376,0.522,Violent Crimes,Kanye West,3.29
80.0,65.0,8.0,78.0,12.0,5.0,London Calling - Remastered,The Clash,4.01
86.0,44.0,24.0,75.0,40.0,9.0,Black Dog - Remaster,Led Zeppelin,3.95
89.0,32.0,9.0,87.0,0.0,4.0,Rock and Roll - Remaster,Led Zeppelin,3.95
34.0,34.0,12.0,20.0,58.0,3.0,Stairway to Heaven - Remaster,Led Zeppelin,3.95
51.0,38.0,54.0,40.0,1.0,5.0,One of These Days,Pink Floyd,3.97
32.0,28.0,11.0,14.0,37.0,4.0,Echoes,Pink Floyd,3.97
31.0,55.0,11.0,41.0,51.0,4.0,Changes - 2015 Remaster,David Bowie,4.03
38.0,44.0,5.0,22.0,64.0,4.0,Life on Mars? - 2015 Remaster,David Bowie,4.03
93.0,26.0,11.0,28.0,0.0,11.0,Fade To Black (Remastered),Metallica,4.06
26.0,36.0,11.0,49.0,91.0,3.0,The Fool On The Hill - Remastered 2009,The Beatles,4.06
56.0,40.0,59.0,65.0,8.0,5.0,I Am The Walrus - Remastered 2009,The Beatles,4.06
50.0,39.0,7.0,29.0,34.0,18.0,Strawberry Fields Forever - Remastered 2009,The Beatles,4.06
48.0,40.0,16.0,65.0,35.0,3.0,All You Need Is Love - Remastered 2009,The Beatles,4.06
43.0,52.0,13.0,10.0,1.0,4.0,Creep,Radiohead,2.71
71.0,82.0,61.0,77.0,1.0,18.0,Feel Good Inc.,Gorillaz,3.81
